Day,Date
1,7/31/2020
2,8/1/2020
3,8/2/2020
4,8/3/2020
5,8/4/2020
6,8/5/2020
7,8/6/2020
8,8/7/2020
9,8/8/2020
10,8/9/2020
11,8/10/2020
12,8/11/2020
13,8/12/2020
14,8/13/2020
15,8/14/2020
16,8/15/2020
17,8/16/2020
18,8/17/2020
19,8/18/2020
20,8/19/2020
21,8/20/2020
22,8/21/2020
23,8/22/2020
24,8/23/2020
25,8/24/2020
26,8/25/2020
27,8/26/2020
28,8/27/2020
29,8/28/2020
30,8/29/2020
31,8/30/2020
32,8/31/2020
33,9/1/2020
34,9/2/2020
35,9/3/2020
36,9/4/2020
37,9/5/2020
38,9/6/2020
39,9/7/2020
40,9/8/2020
41,9/9/2020
42,9/10/2020
43,9/11/2020
44,9/12/2020
45,9/13/2020
46,9/14/2020
47,9/15/2020
48,9/16/2020
49,9/17/2020
50,9/18/2020
51,9/19/2020
52,9/20/2020
53,9/21/2020
54,9/22/2020
55,9/23/2020
56,9/24/2020
57,9/25/2020
58,9/26/2020
59,9/27/2020
60,9/28/2020
61,9/29/2020
62,9/30/2020
63,10/1/2020
64,10/2/2020
65,10/3/2020
66,10/4/2020
67,10/5/2020
68,10/6/2020
69,10/7/2020
70,10/8/2020
71,10/9/2020
72,10/10/2020
73,10/11/2020
74,10/12/2020
75,10/13/2020
76,10/14/2020
77,10/15/2020
78,10/16/2020
79,10/17/2020
80,10/18/2020
81,10/19/2020
82,10/20/2020
83,10/21/2020
84,10/22/2020
85,10/23/2020
86,10/24/2020
87,10/25/2020
88,10/26/2020
89,10/27/2020
90,10/28/2020
91,10/29/2020
92,10/30/2020
93,10/31/2020
94,11/1/2020
95,11/2/2020
